iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,11.0,0.008841261
1000,-1.0,2.0,8.0,0.020623768
1500,-1.0,2.0,9.0,0.017898235
2000,-1.0,2.0,8.0,0.012274466
2500,-1.0,2.0,8.0,0.008203906
3000,-0.89,2.11,9.0,0.003584727
3500,-1.0,2.0,9.0,0.0026487294
4000,-1.0,2.0,9.0,0.0028932851
4500,-0.88,2.12,8.0,0.0076337103
5000,-1.0,2.0,8.0,0.0019774404
5500,-0.89,2.11,9.0,0.0031844918
6000,-1.0,2.0,8.0,0.0036319094
6500,-0.88,2.12,8.0,0.004698192
7000,-1.0,2.0,8.0,0.003864317
7500,-1.0,2.0,9.0,0.0037259357
8000,0.0,2.0,8.0,0.0038812368
8500,-0.25,2.12,8.0,0.001940676
9000,-0.75,2.0,8.0,0.0036648014
9500,-0.25,2.0,8.0,0.0014918557
10000,0.0,2.22,9.0,0.00088865
10500,-0.12,2.0,8.0,0.005547314
11000,0.25,2.25,8.0,0.0048843287
11500,-0.38,2.0,8.0,0.0051099015
12000,-0.25,2.0,8.0,0.0007796211
12500,-0.38,2.0,8.0,0.005964863
13000,-0.25,2.0,8.0,0.0012922264
13500,-0.44,2.0,9.0,0.0018588954
14000,-0.5,2.0,10.0,0.0051745204
14500,-0.33,2.11,9.0,0.0014138266
15000,-0.25,2.12,8.0,0.0033441468
15500,-0.44,2.11,9.0,0.0022568204
16000,0.0,2.12,8.0,0.0007803143
16500,0.0,2.22,9.0,0.0006542216
17000,0.0,2.0,8.0,0.0062083807
17500,-0.12,2.0,8.0,0.00073776516
18000,-0.12,2.0,8.0,0.011364359
18500,0.12,2.12,8.0,0.003795927
19000,-0.56,2.0,9.0,0.0016941365
19500,0.0,2.12,8.0,0.0010663907
20000,-0.22,2.0,9.0,0.002643699
20500,0.12,2.12,8.0,0.0006173968
21000,0.12,2.25,8.0,0.0022868582
21500,0.12,2.12,8.0,0.0014128594
22000,-0.12,2.0,8.0,0.002474127
22500,-0.12,2.12,8.0,0.0003176429
23000,0.25,2.25,8.0,0.0017395524
23500,0.0,2.0,8.0,0.0027650383
24000,0.0,2.0,8.0,0.0032335713
24500,0.11,2.33,9.0,0.0018917274
25000,0.12,2.12,8.0,0.0042668344
25500,0.0,2.0,8.0,0.00026753847
26000,0.38,2.5,8.0,0.0011087615
26500,0.0,2.0,8.0,0.002738875
27000,0.12,2.12,8.0,0.0019514237
27500,0.12,2.12,8.0,0.0048113056
28000,0.0,2.0,8.0,0.0046477965
28500,0.75,3.0,8.0,0.0034253367
29000,0.25,2.25,8.0,0.00052093563
29500,0.25,2.38,8.0,0.0073593576
30000,0.12,2.12,8.0,0.0036688403
30500,0.38,2.38,8.0,0.0018256514
31000,0.25,2.25,8.0,0.0014807587
31500,0.38,2.5,8.0,0.0035862576
32000,0.5,2.62,8.0,0.003707167
32500,0.8,3.1,10.0,0.0034929113
33000,1.1,3.4,10.0,0.0016787781
33500,0.5,2.5,8.0,0.0011669274
34000,0.88,2.88,8.0,0.009302909
34500,1.0,3.25,8.0,0.0023117063
35000,0.38,2.38,8.0,0.0026788819
35500,0.67,2.89,9.0,0.0023362678
36000,1.22,3.56,9.0,0.0063517136
36500,0.75,2.88,8.0,0.004856551
37000,1.0,3.33,9.0,0.0034989822
37500,1.33,3.67,9.0,0.0105939135
38000,1.2,3.7,10.0,0.010745801
38500,1.78,4.22,9.0,0.004796217
39000,1.38,3.62,8.0,0.0032517817
39500,3.12,6.12,8.0,0.0034400735
40000,2.0,5.0,8.0,0.006059601
40500,3.38,6.38,8.0,0.012410188
41000,2.88,5.88,8.0,0.0022334508
41500,3.25,6.25,8.0,0.0151829645
42000,2.38,5.38,8.0,0.0059263525
42500,3.25,6.25,8.0,0.012976421
43000,3.25,6.25,8.0,0.013347986
43500,4.75,7.75,8.0,0.0053405333
44000,3.88,6.88,8.0,0.009017557
44500,2.88,5.88,8.0,0.008783089
45000,2.5,5.5,8.0,0.0077119507
45500,2.88,5.88,8.0,0.005577964
46000,3.12,6.12,8.0,0.009461486
46500,5.0,8.0,8.0,0.019225996
47000,3.22,6.22,9.0,0.017564427
47500,4.5,7.5,8.0,0.014533922
48000,4.62,7.62,8.0,0.019486453
48500,6.38,9.38,8.0,0.006717351
49000,7.25,10.25,8.0,0.012440462
49500,3.12,6.12,8.0,0.00639522
50000,3.62,6.62,8.0,0.007890759
50500,4.88,7.88,8.0,0.02128648
51000,4.0,7.0,8.0,0.022646843
51500,7.75,10.75,8.0,0.0073351306
52000,5.5,8.5,8.0,0.009437213
52500,3.88,6.88,8.0,0.008786038
53000,3.62,6.62,8.0,0.0052962424
53500,3.38,6.38,8.0,0.008355932
54000,3.75,6.75,8.0,0.00643814
54500,3.0,6.0,8.0,0.0069809523
55000,5.12,8.12,8.0,0.009829182
55500,5.25,8.25,8.0,0.008664412
56000,6.25,9.25,8.0,0.0074070995
56500,5.0,8.0,8.0,0.009481689
57000,8.0,11.0,9.0,0.0052488884
57500,5.75,8.75,8.0,0.021984315
58000,7.25,10.25,8.0,0.0063462234
58500,5.5,8.5,8.0,0.012460365
59000,8.12,11.12,8.0,0.00421211
59500,4.89,7.89,9.0,0.022582626
60000,4.75,7.75,8.0,0.007700599
60500,5.0,8.0,8.0,0.026287977
61000,8.88,11.88,8.0,0.0029493961
61500,6.25,9.25,8.0,0.0058161383
62000,6.88,9.88,8.0,0.026306823
62500,8.25,11.25,8.0,0.0060736174
63000,4.88,7.88,8.0,0.017895998
63500,6.12,9.12,8.0,0.027725337
64000,7.88,10.88,8.0,0.0094080325
64500,7.25,10.25,8.0,0.0052931695
65000,5.25,8.25,8.0,0.028034227
65500,7.38,10.38,8.0,0.009726464
66000,5.0,8.0,8.0,0.011323041
66500,10.12,13.12,8.0,0.0054186247
67000,4.88,7.88,8.0,0.0059658606
67500,6.25,9.25,8.0,0.008194596
68000,8.75,11.75,8.0,0.008469615
68500,11.5,14.5,8.0,0.0057901284
69000,7.38,10.38,8.0,0.0074431095
69500,9.12,12.12,8.0,0.015386033
70000,6.25,9.25,8.0,0.054003846
70500,7.88,10.88,8.0,0.047818176
71000,9.0,12.0,8.0,0.03264762
71500,6.62,9.62,8.0,0.0062979315
