iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9.0,0.03308154
1000,-0.9,2.1,10.0,0.019749634
1500,-0.89,2.11,9.0,0.017074164
2000,-0.88,2.12,8.0,0.01575686
2500,-1.0,2.0,8.0,0.0036317157
3000,-0.38,2.0,8.0,0.0017632749
3500,-1.0,2.0,8.0,0.0066042314
4000,-0.88,2.12,8.0,0.000108223
4500,-0.88,2.12,8.0,0.0003251946
5000,-0.56,2.11,9.0,0.00010561783
5500,-0.3,2.2,10.0,0.00016308055
6000,-1.0,2.0,8.0,2.9314191e-05
6500,-0.88,2.12,8.0,0.0015396412
7000,-0.75,2.25,8.0,0.0021570874
7500,-0.33,2.0,9.0,0.0020043144
8000,-0.5,2.0,8.0,0.0019921078
8500,-0.88,2.12,8.0,0.0012084044
9000,-0.22,2.22,9.0,5.390169e-05
9500,-0.12,2.0,8.0,0.00010925217
10000,-0.89,2.11,9.0,3.9568666e-05
10500,-0.45,2.18,11.0,6.296774e-05
11000,-0.12,2.0,8.0,0.002234995
11500,0.33,2.56,9.0,0.0017341466
12000,-0.12,2.12,8.0,0.00012188115
12500,-0.4,2.1,10.0,1.1687524e-05
13000,-0.27,2.09,11.0,3.423296e-05
13500,-0.33,2.0,9.0,1.6078158e-05
14000,0.25,2.38,8.0,3.7831145e-05
14500,-0.31,2.23,13.0,0.0040419986
15000,-0.22,2.22,9.0,5.442206e-06
15500,0.12,2.12,8.0,1.5658363e-05
16000,0.0,2.0,8.0,2.5647169e-05
16500,-0.11,2.11,9.0,6.261735e-05
17000,-0.22,2.22,9.0,1.0255645e-05
17500,-0.12,2.0,8.0,0.0014962392
18000,-0.44,2.0,9.0,2.000776e-05
18500,-0.5,2.08,12.0,9.6607255e-05
19000,-0.27,2.27,11.0,0.0014232314
19500,-0.3,2.1,10.0,8.367755e-06
20000,-0.12,2.0,8.0,0.0018371869
20500,-0.25,2.0,8.0,7.8167766e-05
21000,-0.33,2.22,9.0,0.00032686055
21500,0.33,2.56,9.0,0.00021650504
22000,-0.27,2.18,11.0,5.4465152e-05
22500,-1.0,2.0,8.0,1.1133574e-05
23000,0.25,2.38,8.0,6.242279e-05
23500,0.0,2.33,9.0,3.515458e-05
24000,-0.3,2.2,10.0,1.8477833e-05
24500,-0.6,2.1,10.0,2.9835086e-05
25000,0.38,2.38,8.0,0.00016555528
25500,0.38,2.62,8.0,1.4415102e-05
26000,-0.22,2.11,9.0,4.1177635e-05
26500,-0.12,2.0,8.0,1.656559e-05
27000,0.25,2.25,8.0,0.0016139172
27500,0.12,2.25,8.0,0.0018321269
28000,-0.11,2.33,9.0,1.8668241e-05
28500,0.0,2.38,8.0,0.00010642125
29000,-0.33,2.11,9.0,0.0014574709
29500,-0.12,2.12,8.0,4.327199e-05
30000,-0.4,2.1,10.0,4.3536696e-05
30500,0.38,2.5,8.0,3.4478213e-05
31000,0.25,2.25,8.0,0.0019572547
31500,-0.33,2.0,9.0,1.5982929e-05
32000,-0.4,2.1,10.0,0.002669861
32500,0.25,2.25,8.0,9.341333e-06
33000,-0.2,2.3,10.0,2.0006162e-05
33500,-0.12,2.0,8.0,1.5498637e-05
34000,0.33,2.92,12.0,7.100714e-06
34500,0.0,2.22,9.0,0.0008594765
35000,-0.22,2.11,9.0,0.0004211408
35500,0.12,2.25,8.0,0.0013655162
36000,-0.09,2.36,11.0,1.9997104e-05
36500,-0.33,2.11,9.0,1.6910933e-05
37000,0.12,2.12,8.0,0.00052225305
37500,0.33,2.67,9.0,0.002197365
38000,0.25,2.5,8.0,5.807155e-05
38500,-0.11,2.22,9.0,5.660704e-05
39000,0.25,2.25,8.0,0.00069816987
39500,-0.38,2.12,8.0,0.00016595886
40000,0.62,2.75,8.0,1.0815482e-05
40500,-0.17,2.33,12.0,0.0010221779
41000,0.25,2.5,8.0,1.3036355e-05
41500,0.25,2.25,8.0,2.5836554e-05
42000,0.12,2.25,8.0,2.6126043e-05
42500,-0.27,2.27,11.0,0.00016858609
43000,0.25,2.38,8.0,0.00013820309
43500,0.12,2.25,8.0,4.1437784e-06
44000,0.25,2.25,8.0,7.432156e-05
44500,0.38,2.5,8.0,0.0020999415
45000,0.0,2.12,8.0,0.00017081609
45500,0.5,2.75,8.0,1.0878493e-05
46000,-0.25,2.12,8.0,1.0580913e-05
46500,-0.22,2.11,9.0,3.1607648e-05
47000,0.0,2.12,8.0,1.0579928e-05
47500,0.12,2.25,8.0,0.00016992749
48000,0.0,2.22,9.0,1.6978951e-05
48500,-0.12,2.0,8.0,0.00022743005
49000,-0.1,2.3,10.0,0.00023225263
49500,0.0,2.0,8.0,8.609991e-06
50000,-0.33,2.0,9.0,2.1429514e-05
50500,0.0,2.25,8.0,8.597137e-06
51000,0.4,2.9,10.0,0.001000152
51500,0.12,2.12,8.0,0.00011441791
52000,-0.09,2.55,11.0,0.00046092115
52500,0.12,2.25,8.0,4.5787598e-05
53000,0.11,2.33,9.0,3.640995e-05
53500,0.22,2.67,9.0,0.0022006056
54000,0.12,2.12,8.0,1.645523e-05
54500,0.12,2.12,8.0,5.3277176e-06
55000,0.12,2.5,8.0,0.0019324451
55500,0.12,2.38,8.0,0.0020592604
56000,0.0,2.22,9.0,0.00027171656
56500,0.12,2.25,8.0,0.0002975866
57000,0.0,2.44,9.0,3.734112e-05
57500,0.0,2.38,8.0,4.1253446e-05
58000,0.0,2.25,8.0,9.1477195e-06
58500,0.25,3.25,8.0,0.0016146725
59000,-0.22,2.22,9.0,8.0632206e-05
59500,-0.25,2.12,8.0,4.4757157e-06
60000,0.12,2.12,8.0,4.4482827e-06
60500,0.25,2.62,8.0,0.00075598236
61000,0.0,2.25,8.0,1.6891481e-05
61500,0.12,2.25,8.0,4.1373307e-05
62000,-0.12,2.0,8.0,1.412112e-05
62500,0.12,2.12,8.0,1.1467123e-05
63000,-0.25,2.0,8.0,4.2643467e-05
63500,0.12,2.38,8.0,9.753147e-05
64000,0.25,2.25,8.0,1.3868592e-05
64500,0.5,2.5,8.0,2.406786e-05
65000,0.38,2.38,8.0,8.701045e-06
65500,0.12,2.12,8.0,4.851957e-06
66000,0.38,2.5,8.0,6.024475e-06
66500,0.38,2.75,8.0,1.0877266e-05
67000,0.12,2.38,8.0,1.252259e-05
67500,0.0,2.3,10.0,1.0612687e-05
68000,0.38,2.5,8.0,0.0018902106
68500,0.38,2.5,8.0,7.439838e-05
69000,0.25,2.5,8.0,1.0246905e-05
69500,0.12,2.12,8.0,2.4209985e-05
70000,0.0,2.25,8.0,6.41275e-05
70500,0.12,2.12,8.0,8.407766e-06
71000,0.12,2.12,8.0,4.1325216e-05
71500,0.25,2.25,8.0,9.446628e-06
72000,0.0,2.25,8.0,2.7429167e-05
72500,-0.12,2.0,8.0,1.2034342e-05
73000,0.38,2.38,8.0,2.5146333e-06
73500,0.25,2.25,8.0,2.154969e-05
